,name,place_id,types,lat,lng,rating,user_ratings_total
0,安平北堤(綠),ChIJdWYSh2XfbTQRgk2vgwrEot8,"['tourist_attraction', 'point_of_interest', 'establishment']",22.9625393,120.1474869,4.1,160.0
1,觀夕平臺,ChIJ_____wN2bjQRogqxlnZt3NQ,"['tourist_attraction', 'point_of_interest', 'establishment']",22.9901592,120.1470983,4.3,8775.0
2,四草大橋,ChIJn_c52f11bjQRibYqZYX9IMk,"['tourist_attraction', 'point_of_interest', 'establishment']",22.9969776,120.1403247,4.4,755.0
3,安平燈塔,ChIJt2ftV03fbTQRoEalBJil24k,"['tourist_attraction', 'point_of_interest', 'establishment']",22.990823100000004,120.1470193,4.2,137.0
4,台南南防波堤(紅燈),ChIJYwiLfWPfbTQRIu6PDC3nOAE,"['tourist_attraction', 'point_of_interest', 'establishment']",22.9605549,120.1532462,4.0,38.0
5,橋頭海灘公園,ChIJI5sbLU3fbTQRYOR6bS5rdyI,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",22.993724,120.143413,4.2,3502.0
6,漁光島沙灘,ChIJ5_tQJlHfbTQR79SHxglJfq0,"['tourist_attraction', 'point_of_interest', 'establishment']",22.9827695,120.1522869,4.4,1219.0
7,虱目魚主題館（參加活動請先電話預約）,ChIJQ1hB3v91bjQR__MjGJViSFw,"['tourist_attraction', 'point_of_interest', 'establishment']",22.9831251,120.1558499,4.0,3373.0
8,二鯤鯓砲臺(億載金城),ChIJk_qk9P91bjQRTolgNlHUSrc,"['tourist_attraction', 'point_of_interest', 'establishment']",22.987883,120.159255,4.1,6590.0
9,安平定情碼頭德陽艦園區,ChIJOYFDzarYbTQRB7SC69TUJa8,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",22.9891513,120.1565805,4.2,11582.0
10,漁光島,ChIJ87qwKf11bjQRMuEmcom6RX8,"['tourist_attraction', 'point_of_interest', 'establishment']",22.981044,120.1556693,4.3,15878.0
11,龍崗天橋(四鯤鯓海景天橋),ChIJd4LY7411bjQR-C5ZbbEMvRE,"['tourist_attraction', 'point_of_interest', 'establishment']",22.9610739,120.1683404,4.0,807.0
12,台江國家公園管理處行政中心,ChIJAV0H0pTYbTQRuS5hyXnarzE,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",23.0028705,120.1362648,4.2,16604.0
13,鹽水溪口濕地,ChIJfYU1LaXYbTQRa32oMpF9EqE,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",23.003138600000003,120.14252340000002,4.6,124.0
14,台江漁樂園,ChIJddor9bbYbTQRZH1q5sC3LL0,"['tourist_attraction', 'point_of_interest', 'establishment']",23.0000339,120.1389125,4.3,705.0
15,戀愛廣場,ChIJcdHj06zYbTQRlGEje2beEFo,"['tourist_attraction', 'point_of_interest', 'establishment']",22.9912702,120.1514568,3.7,1138.0
16,碧海風景碼頭,ChIJw5oQhazYbTQRWkgRL0e59IQ,"['tourist_attraction', 'point_of_interest', 'establishment']",22.992695,120.152568,4.8,4.0
17,世平二號公園,ChIJTyHy363YbTQRERNi8OZScZs,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",22.996672,120.148899,3.5,55.0
18,黃金海岸,ChIJMTD9H3J1bjQRC0l1HyDH3rQ,"['tourist_attraction', 'point_of_interest', 'establishment']",22.933208800000006,120.1762577,4.0,4177.0
19,作夥憩海邊民宿（防疫一起加油-人工確實check-in以保障每一組房客/落實量額溫/加強消毒）| 榮獲百大好客民宿 | 官網最低價 | 國旅卡（Taiowan One Piece House）,ChIJ3WmuE6_YbTQRFuuYY_K_hn4,"['tourist_attraction', 'lodging', 'point_of_interest', 'establishment']",22.9999584,120.1507503,4.8,85.0
20,湖濱水鳥公園,ChIJ4w_CbqbYbTQRVQQnyLK_1x4,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",23.002768,120.15415149999998,4.3,71.0
21,億載公園,ChIJF0WpAgB2bjQRhBZGgNZY7lk,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",22.9898824,120.1589496,4.3,280.0
22,灣裡萬年殿,ChIJR2dw5HJ1bjQRLyGcRqAYrK0,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",22.9333033,120.1800769,4.5,399.0
23,林默娘公園,ChIJG1xPEc5yBxQRiCoswkya8qw,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",22.9938758,120.15719579999998,4.3,7653.0
24,新百祿燕窩觀光工廠,ChIJYxg5j-t1bjQRJu2jTIRgzuk,"['tourist_attraction', 'point_of_interest', 'establishment']",22.967474,120.17663600000002,4.0,730.0
25,台南安平-夕遊出張所,ChIJR0ctuxp2bjQRcIg1Va6v9Bc,"['tourist_attraction', 'point_of_interest', 'establishment']",23.0025611,120.1563263,4.0,5593.0
26,安平海關 運河博物館,ChIJVWDJTwN2bjQRvUryDHYDEnc,"['tourist_attraction', 'cafe', 'museum', 'food', 'point_of_interest', 'establishment']",22.998516100000003,120.1639519,4.1,469.0
27,東興洋行,ChIJJ9emiKfYbTQRM528BGBb5cY,"['tourist_attraction', 'point_of_interest', 'establishment']",23.0017694,120.1589444,4.0,300.0
28,安平老街,ChIJ_____wN2bjQRIOio8uGV_Og,"['jewelry_store', 'tourist_attraction', 'home_goods_store', 'point_of_interest', 'store', 'establishment']",23.000728,120.1617807,4.2,28810.0
29,英商德記洋行（台灣開拓史料蠟像館）,ChIJo7avkR12bjQR9Gvc2sRtx40,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",23.0034467,120.1597835,4.2,10325.0
30,海山館,ChIJD1nN8Bx2bjQROWmNnLkI_Iw,"['tourist_attraction', 'cafe', 'food', 'point_of_interest', 'establishment']",23.0014144,120.16263130000002,4.0,493.0
31,安平劍獅埕,ChIJL5Dhuxx2bjQRUcjVq8bY2SQ,"['tourist_attraction', 'point_of_interest', 'establishment']",22.999942,120.163629,4.0,329.0
32,黑橋牌香腸博物館,ChIJOaMiYd51bjQR5h4F5D6kcJk,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",22.979734,120.1843038,4.1,6131.0
33,安平古堡,ChIJZ-TjeHN2bjQR8a3Jat0VHps,"['tourist_attraction', 'point_of_interest', 'establishment']",23.0015093,120.1606244,4.3,16409.0
34,安平開臺天后宮,ChIJY7RrRh12bjQRncBHmaoGt4Q,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",23.0006638,120.1606903,4.5,710.0
35,安平蚵灰窯文化館,ChIJ12hEiBt2bjQRIPCZCMYAzws,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",23.0023418,120.1649846,3.9,308.0
36,安平鹽神白沙灘公園,ChIJ11CzTabYbTQREQ4eR--WYk4,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",23.0018162,120.1563448,4.0,2449.0
37,塩埕北極殿,ChIJvcESesR1bjQRdD6B3kbhM4U,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",22.968809,120.18846270000002,4.3,180.0
38,朱玖瑩故居(因鹽玖定),ChIJ_____wN2bjQRPltMc7uJ0zI,"['tourist_attraction', 'point_of_interest', 'establishment']",23.0033747,120.1600684,4.0,262.0
39,國立臺南生活美學館,ChIJB5XdKHJ2bjQRVI5paav5Nzc,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",22.9920962,120.1874149,4.1,1499.0
40,鄭成功文物館,ChIJvRCasYd2bjQRkHyuV_FbLuk,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",22.9873691,120.2082281,4.3,3116.0
41,神農街,ChIJqctagGZ2bjQRGlAjSFrC5hE,"['tourist_attraction', 'point_of_interest', 'establishment']",22.9975171,120.1964949,4.2,14168.0
42,五妃廟,ChIJhwqMKn52bjQRjs-gz337hJY,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",22.981974,120.204977,4.1,611.0
43,台南武聖夜市,ChIJc9IkfkJ2bjQRD5USkR9J1ck,"['tourist_attraction', 'point_of_interest', 'establishment']",23.003458,120.1905098,4.3,15162.0
44,國立臺灣文學館 (原臺南州廳),ChIJcfdsmWJ2bjQRSb4_CGnFR0E,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",22.9919771,120.2044915,4.5,6558.0
45,臺南市立臺南文化中心,ChIJYUOPRyd0bjQRivbrqFsMKuU,"['tourist_attraction', 'point_of_interest', 'establishment']",22.9747562,120.2215652,4.3,5148.0
46,原台南測候所,ChIJq7vR14l2bjQRhmlNkSlt5vk,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",22.993676500000007,120.2050336,4.3,444.0
47,吳園藝文中心,ChIJgcp5wol2bjQRdslnxYwK30Y,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",22.9943733,120.2059555,4.4,5025.0
48,奇美博物館,ChIJq6qqqnp0bjQRpvTHZeYTjKg,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",22.9345608,120.2260268,4.6,46887.0
49,花園夜市 Garden Night Market,ChIJx7B27Vl2bjQRXNQQFasKOKI,"['tourist_attraction', 'point_of_interest', 'establishment']",23.011402800000006,120.2003525,4.2,33366.0
50,巴克禮紀念公園,ChIJMwoLNSF0bjQRPDMC-i3Tuy0,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",22.9719929,120.2225874,4.4,5342.0
51,赤崁樓,ChIJbYl7d2F2bjQRnFdvyMBuZfI,"['tourist_attraction', 'point_of_interest', 'establishment']",22.997478,120.2025433,4.3,18007.0
52,十鼓仁糖文創園區,ChIJA0P9eml0bjQRAFSV5Tjabuc,"['tourist_attraction', 'point_of_interest', 'establishment']",22.9393947,120.23028329999998,4.3,16402.0
53,321巷 藝術聚落,ChIJW5GWOPR2bjQR0zPPTr9TaM8,"['tourist_attraction', 'point_of_interest', 'establishment']",23.004342,120.208972,4.1,4052.0
54,孔廟商圈,ChIJJw96dIh2bjQRwJC5vTPBqEA,"['tourist_attraction', 'point_of_interest', 'establishment']",22.990087,120.2059868,4.1,2602.0
55,臺灣首廟天壇,ChIJGwsbZmJ2bjQRzVsgkZNHXAY,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",22.9937599,120.2041685,4.6,1146.0
56,台南公園,ChIJB8c7pvR2bjQRtQwHdqx87Y0,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",23.0024696,120.2116084,4.2,8507.0
57,國立成功大學博物館,ChIJA2xpnZJ2bjQRbOkCD2qgHqE,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",22.9966473,120.2195854,4.3,1184.0
58,岳王廟,ChIJIRV4nD5xbjQRXgAaIOpRio4,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",22.9920736,120.2705116,4.4,132.0
59,台南市勞工育樂中心,ChIJp9HPP9V1bjQR5r1C31eH0SY,"['tourist_attraction', 'point_of_interest', 'establishment']",22.9799348,120.204208,3.9,1792.0
60,台南德化堂,ChIJC3iMXX12bjQRoMsHXZctJ2o,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",22.9891281,120.2060494,4.4,56.0
61,大灣廣護宮,ChIJF91eISdxbjQR5Jtr0Tr0Qnw,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",23.0073104,120.26737959999998,4.6,274.0
62,臺南‧家具產業博物館,ChIJZR0yhvF0bjQRV5nYGyNDtgY,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",22.924395,120.222615,4.2,291.0
63,萬國通路創意觀光工廠,ChIJyctk_7xzbjQRwlvfvXmUDSQ,"['tourist_attraction', 'point_of_interest', 'establishment']",22.9351511,120.2778068,4.1,2089.0
64,農春鎮生態教育農場,ChIJEcAhwqRybjQRvMFf15zV1m8,"['tourist_attraction', 'lodging', 'point_of_interest', 'establishment']",22.883984,120.300378,3.9,272.0
65,山西宮,ChIJ16cxeMtwbjQRmx7fA619FpU,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",22.961730300000006,120.3252738,4.5,1577.0
66,關廟森林公園,ChIJlWIzgIltbjQRx65x7mcp3QY,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",22.922976,120.346366,3.5,180.0
67,歸仁仁壽宮,ChIJZ4FKmHlxbjQRgGlHpHolXjk,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",22.9698198,120.2929244,4.5,276.0
68,歸仁美學館,ChIJAaNr2HhxbjQRK8bxNrTcI70,"['tourist_attraction', 'point_of_interest', 'establishment']",22.9670492,120.2947307,4.1,332.0
69,台灣Holocaust和平紀念館,ChIJ4-zFi4p0bjQRX7gvMqcTdG0,"['church', 'tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",22.9303884,120.230898,3.3,22.0
70,虹泰水凝膠世界【觀光工廠】,ChIJ-Y6sp0txbjQRBXKBfbv65Zk,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",22.9876567,120.2542364,4.8,3562.0
71,忠義聖堂,ChIJOa5VZLtxbjQRL6GV6xhQVTA,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",22.9752919,120.317907,4.3,79.0
72,奧林帕斯橋,ChIJo1W_PV90bjQRWwJL2R7yD5g,"['tourist_attraction', 'point_of_interest', 'establishment']",22.9345557,120.2237535,4.7,221.0
